Date,Time,Open,High,Low,Close,Volume
17-03-2011,01:00:00,34.103,34.214,33.955,34.177,60
17-03-2011,02:00:00,34.18,34.274,34.135,34.151,60
17-03-2011,03:00:00,34.144,34.419,34.069,34.368,60
17-03-2011,04:00:00,34.372,34.589,34.364,34.542,60
17-03-2011,05:00:00,34.544,34.555,34.306,34.338,60
17-03-2011,06:00:00,34.34,34.564,34.337,34.484,60
17-03-2011,07:00:00,34.483,34.514,34.233,34.344,60
17-03-2011,08:00:00,34.344,34.644,34.128,34.557,62
17-03-2011,09:00:00,34.554,34.614,34.288,34.289,60
17-03-2011,10:00:00,34.286,34.39,34.164,34.31,60
17-03-2011,11:00:00,34.307,34.344,34.047,34.244,60
17-03-2011,12:00:00,34.243,34.364,34.186,34.28,129
17-03-2011,13:00:00,34.278,34.446,34.273,34.325,59
17-03-2011,14:00:00,34.324,34.384,34.274,34.325,60
17-03-2011,15:00:00,34.326,34.359,34.196,34.202,42
17-03-2011,16:00:00,34.031,34.324,34.031,34.277,30
17-03-2011,17:00:00,34.277,34.562,34.26,34.453,61
17-03-2011,18:00:00,34.477,34.612,34.364,34.6,60
17-03-2011,19:00:00,34.602,34.774,34.514,34.754,59
17-03-2011,20:00:00,34.75,34.784,34.664,34.753,59
17-03-2011,21:00:00,34.754,34.861,34.644,34.861,58
17-03-2011,22:00:00,34.865,34.884,34.782,34.784,60
17-03-2011,23:00:00,34.783,34.854,34.717,34.728,60
18-03-2011,00:00:00,34.725,34.813,34.713,34.759,60
18-03-2011,01:00:00,34.763,34.904,34.692,34.871,60
18-03-2011,02:00:00,34.868,34.952,34.809,34.922,59
18-03-2011,03:00:00,34.924,34.927,34.686,34.773,59
18-03-2011,04:00:00,34.772,34.946,34.743,34.823,60
18-03-2011,05:00:00,34.826,34.887,34.738,34.805,60
18-03-2011,06:00:00,34.806,35.311,34.774,35.307,60
18-03-2011,07:00:00,35.299,35.396,34.824,34.931,60
18-03-2011,08:00:00,34.933,35.256,34.884,35.247,60
18-03-2011,09:00:00,35.245,35.252,34.934,35.045,60
18-03-2011,10:00:00,35.042,35.146,35.004,35.084,60
18-03-2011,11:00:00,35.089,35.132,34.932,35.04,60
18-03-2011,12:00:00,35.038,35.114,34.994,35.103,59
18-03-2011,13:00:00,35.102,35.104,35.008,35.064,60
18-03-2011,14:00:00,35.064,35.267,35.06,35.264,60
18-03-2011,15:00:00,35.264,35.268,35.206,35.212,31
20-03-2011,16:00:00,35.357,35.762,35.345,35.659,31
20-03-2011,17:00:00,35.657,35.708,35.563,35.663,60
20-03-2011,18:00:00,35.658,35.828,35.593,35.814,60
20-03-2011,19:00:00,35.804,35.854,35.745,35.833,60
20-03-2011,20:00:00,35.834,35.954,35.815,35.903,60
20-03-2011,21:00:00,35.903,35.904,35.763,35.813,60
20-03-2011,22:00:00,35.814,35.882,35.753,35.753,60
20-03-2011,23:00:00,35.754,35.794,35.673,35.743,60
21-03-2011,00:00:00,35.744,35.824,35.703,35.793,60
21-03-2011,01:00:00,35.793,35.874,35.738,35.804,60
21-03-2011,02:00:00,35.805,35.845,35.669,35.703,60
21-03-2011,03:00:00,35.701,35.744,35.633,35.734,61
21-03-2011,04:00:00,35.729,35.834,35.713,35.792,61
21-03-2011,05:00:00,35.79,35.969,35.788,35.928,141
21-03-2011,06:00:00,35.929,36.155,35.894,36.024,60
21-03-2011,07:00:00,36.026,36.094,35.8,35.835,60
21-03-2011,08:00:00,35.839,36.016,35.718,35.85,60
21-03-2011,09:00:00,35.851,36.111,35.819,35.943,60
21-03-2011,10:00:00,35.947,36.092,35.905,36.028,60
21-03-2011,11:00:00,36.034,36.062,35.862,35.995,60
21-03-2011,12:00:00,35.99,36.062,35.954,36.032,60
21-03-2011,13:00:00,36.029,36.145,36.022,36.102,60
21-03-2011,14:00:00,36.102,36.189,36.067,36.1,60
21-03-2011,15:00:00,36.098,36.124,36.046,36.087,31
21-03-2011,16:00:00,36.083,36.125,36.062,36.063,30
21-03-2011,17:00:00,36.062,36.069,36.033,36.046,51
21-03-2011,18:00:00,36.045,36.13,36.019,36.105,59
21-03-2011,19:00:00,36.104,36.174,36.098,36.165,60
21-03-2011,20:00:00,36.168,36.34,36.163,36.246,58
21-03-2011,21:00:00,36.248,36.285,36.214,36.227,54
21-03-2011,22:00:00,36.229,36.242,36.164,36.171,60
21-03-2011,23:00:00,36.17,36.207,36.069,36.123,60
22-03-2011,00:00:00,36.121,36.133,36.034,36.041,60
22-03-2011,01:00:00,36.038,36.05,35.872,36.039,60
22-03-2011,02:00:00,36.041,36.095,35.954,36.038,60
22-03-2011,03:00:00,36.044,36.307,36.029,36.148,60
22-03-2011,04:00:00,36.149,36.199,36.033,36.041,60
22-03-2011,05:00:00,36.042,36.091,35.946,36.049,60
22-03-2011,06:00:00,36.048,36.074,35.799,35.917,60
22-03-2011,07:00:00,35.915,35.949,35.746,35.941,60
22-03-2011,08:00:00,35.946,36.356,35.894,36.323,60
22-03-2011,09:00:00,36.325,36.449,36.243,36.247,60
22-03-2011,10:00:00,36.245,36.396,36.194,36.37,60
22-03-2011,11:00:00,36.366,36.409,36.125,36.324,60
22-03-2011,12:00:00,36.322,36.334,36.225,36.265,60
22-03-2011,13:00:00,36.268,36.386,36.268,36.339,60
22-03-2011,14:00:00,36.343,36.393,36.325,36.373,59
22-03-2011,15:00:00,36.374,36.402,36.306,36.321,40
22-03-2011,16:00:00,36.361,36.401,36.344,36.387,30
22-03-2011,17:00:00,36.391,36.408,36.314,36.343,58
22-03-2011,18:00:00,36.344,36.354,36.201,36.233,60
22-03-2011,19:00:00,36.233,36.323,36.223,36.276,60
22-03-2011,20:00:00,36.274,36.304,36.263,36.295,60
22-03-2011,21:00:00,36.296,36.296,36.262,36.284,55
22-03-2011,22:00:00,36.283,36.295,36.135,36.174,58
22-03-2011,23:00:00,36.174,36.254,36.163,36.229,60
23-03-2011,00:00:00,36.233,36.234,36.134,36.224,60
23-03-2011,01:00:00,36.223,36.329,36.213,36.307,60
23-03-2011,02:00:00,36.31,36.32,36.202,36.303,60
23-03-2011,03:00:00,36.305,36.451,36.302,36.418,60
23-03-2011,04:00:00,36.416,36.452,36.382,36.452,60
23-03-2011,05:00:00,36.452,36.657,36.452,36.57,60
23-03-2011,06:00:00,36.572,36.626,36.5,36.511,60
23-03-2011,07:00:00,36.509,36.605,36.336,36.444,60
23-03-2011,08:00:00,36.446,36.67,36.404,36.663,60
23-03-2011,09:00:00,36.663,36.864,36.639,36.834,60
23-03-2011,10:00:00,36.843,36.95,36.839,36.904,60
23-03-2011,11:00:00,36.907,37.264,36.882,37.148,60
23-03-2011,12:00:00,37.152,37.22,37.094,37.177,60
23-03-2011,13:00:00,37.177,37.348,37.173,37.307,60
23-03-2011,14:00:00,37.311,37.364,37.285,37.316,60
23-03-2011,15:00:00,37.323,37.377,37.291,37.306,29
23-03-2011,16:00:00,37.311,37.385,37.297,37.341,30
23-03-2011,17:00:00,37.34,37.374,37.323,37.34,52
23-03-2011,18:00:00,37.343,37.354,37.223,37.244,59
23-03-2011,19:00:00,37.243,37.304,37.233,37.293,60
23-03-2011,20:00:00,37.285,37.294,37.193,37.266,59
23-03-2011,21:00:00,37.268,37.284,37.225,37.246,58
23-03-2011,22:00:00,37.244,37.294,37.243,37.274,59
23-03-2011,23:00:00,37.273,37.304,37.223,37.283,60
24-03-2011,00:00:00,37.284,37.304,37.224,37.274,60
24-03-2011,01:00:00,37.269,37.274,37.189,37.218,60
24-03-2011,02:00:00,37.219,37.559,37.193,37.471,60
24-03-2011,03:00:00,37.471,37.638,37.453,37.595,60
24-03-2011,04:00:00,37.593,37.697,37.502,37.683,60
24-03-2011,05:00:00,37.682,37.831,37.629,37.786,60
24-03-2011,06:00:00,37.789,37.844,37.553,37.653,60
24-03-2011,07:00:00,37.654,37.767,37.568,37.684,60
24-03-2011,08:00:00,37.684,37.897,37.589,37.817,60
24-03-2011,09:00:00,37.816,38.149,37.771,38.012,71
24-03-2011,10:00:00,38.009,38.104,37.964,38.033,60
24-03-2011,11:00:00,38.036,38.058,37.243,37.436,60
24-03-2011,12:00:00,37.437,37.519,37.207,37.435,60
24-03-2011,13:00:00,37.433,37.649,36.833,36.882,60
24-03-2011,14:00:00,36.881,37.114,36.881,37.114,60
24-03-2011,15:00:00,37.112,37.172,37.101,37.127,49
24-03-2011,16:00:00,37.091,37.437,37.091,37.364,31
24-03-2011,17:00:00,37.362,37.434,37.272,37.289,60
24-03-2011,18:00:00,37.283,37.324,37.249,37.287,59
24-03-2011,19:00:00,37.287,37.388,37.268,37.373,58
24-03-2011,20:00:00,37.374,37.432,37.346,37.356,59
24-03-2011,21:00:00,37.361,37.421,37.313,37.378,58
24-03-2011,22:00:00,37.377,37.434,37.371,37.387,58
24-03-2011,23:00:00,37.393,37.514,37.39,37.424,60
25-03-2011,00:00:00,37.428,37.533,37.415,37.489,60
25-03-2011,01:00:00,37.488,37.627,37.476,37.548,60
25-03-2011,02:00:00,37.55,37.624,37.409,37.475,60
25-03-2011,03:00:00,37.473,37.568,37.394,37.452,138
25-03-2011,04:00:00,37.454,37.516,37.403,37.484,106
25-03-2011,05:00:00,37.483,37.664,37.461,37.653,109
25-03-2011,06:00:00,37.654,37.762,37.471,37.513,281
25-03-2011,07:00:00,37.512,37.586,37.293,37.493,178
25-03-2011,08:00:00,37.483,37.624,37.213,37.574,79
25-03-2011,09:00:00,37.573,37.694,37.363,37.414,72
25-03-2011,10:00:00,37.413,37.544,37.231,37.253,65
25-03-2011,11:00:00,37.253,37.254,36.853,37.044,80
25-03-2011,12:00:00,37.043,37.274,37.043,37.134,80
25-03-2011,13:00:00,37.133,37.254,37.113,37.203,89
25-03-2011,14:00:00,37.204,37.253,37.164,37.224,60
25-03-2011,15:00:00,37.223,37.314,37.203,37.291,34
27-03-2011,16:00:00,37.231,37.361,37.016,37.266,50
27-03-2011,17:00:00,37.262,37.265,37.031,37.113,81
27-03-2011,18:00:00,37.114,37.184,36.994,37.094,60
27-03-2011,19:00:00,37.104,37.204,37.073,37.184,60
27-03-2011,20:00:00,37.183,37.304,37.173,37.193,60
