Date,Time,Open,High,Low,Close,Volume
24-08-2017,05:00:00,317.42,321.29,316.14,318.27,416
24-08-2017,06:00:00,320.51,328.04,317.1,317.93,529
24-08-2017,07:00:00,317.93,322.99,317.92,320,244
24-08-2017,08:00:00,319.39,326.79,318.97,323.21,411
24-08-2017,09:00:00,323.21,324.37,320.84,321.13,168
24-08-2017,10:00:00,321.14,323.69,321.13,321.13,199
24-08-2017,11:00:00,322.83,323.54,318.97,320.27,167
24-08-2017,12:00:00,320.27,323.79,319,321.76,227
24-08-2017,13:00:00,323.78,324.99,320.17,322.62,281
24-08-2017,14:00:00,322.62,325.35,320.17,322.98,171
24-08-2017,15:00:00,322.98,322.98,318.97,322.2,224
24-08-2017,16:00:00,320.86,325.34,319.83,321.31,252
24-08-2017,17:00:00,322.21,326.33,322.21,322.4,305
24-08-2017,18:00:00,322.4,327.81,322.3,323.61,237
24-08-2017,19:00:00,327.3,327.81,323.42,327.78,609
24-08-2017,20:00:00,324.47,328.82,324.42,325.64,282
24-08-2017,21:00:00,325.64,330.44,325.4,325.41,276
24-08-2017,22:00:00,327.99,330.44,325.4,327.7,242
24-08-2017,23:00:00,330.44,334.57,327.69,332.67,336
25-08-2017,00:00:00,332.67,335,330.02,330.03,154
25-08-2017,01:00:00,332.71,334.34,328.69,334.34,348
25-08-2017,02:00:00,331.78,334.34,330.17,330.49,262
25-08-2017,03:00:00,329.86,335.41,329.86,335.32,305
25-08-2017,04:00:00,335.32,335.32,328.8,331.74,246
25-08-2017,05:00:00,329.7,331.9,327.69,328.73,279
25-08-2017,06:00:00,329.91,335.33,327.4,333.07,1373
25-08-2017,07:00:00,333.07,334.74,329.8,331.07,290
25-08-2017,08:00:00,332.43,333.68,330.67,331.68,269
25-08-2017,09:00:00,331.68,333.7,330.67,333.17,214
25-08-2017,10:00:00,333.66,335.33,331.9,334.66,137
25-08-2017,11:00:00,334.66,338.28,331.9,335.44,194
25-08-2017,12:00:00,333.72,336.54,331.88,333.13,99
25-08-2017,13:00:00,333.14,335.54,331.88,334.95,223
25-08-2017,14:00:00,332.67,332.67,324.9,326.78,283
25-08-2017,15:00:00,326.78,330.99,325.02,330.95,165
25-08-2017,16:00:00,332.17,332.27,326.99,328.68,177
25-08-2017,17:00:00,328.68,332.26,326.37,328,138
25-08-2017,18:00:00,326.38,330.99,326.25,328.36,166
