Date,Time,Open,High,Low,Close,Volume,Name,Symbol
26-08-2017,18:00:00,4330,4367,4315.52,4327.83,14,,
26-08-2017,19:00:00,4338.92,4368.2,4338.92,4368,17,,
26-08-2017,20:00:00,4353.47,4400,4346,4400,18,,
26-08-2017,21:00:00,4394,4394,4328.4,4328.4,13,,
26-08-2017,22:00:00,4328.39,4370.85,4303.02,4328,19,,
26-08-2017,23:00:00,4328,4342.19,4303.02,4317.9,9,,
27-08-2017,00:00:00,4317.91,4336.2,4293.42,4314.89,15,,
27-08-2017,01:00:00,4344.9,4344.9,4314.89,4330.61,10,,
27-08-2017,02:00:00,4330.61,4352.34,4298.75,4311.85,16,,
27-08-2017,03:00:00,4331.01,4331.02,4302.11,4329.32,11,,
27-08-2017,04:00:00,4329.32,4345.81,4301,4301,11,,
27-08-2017,05:00:00,4301,4344.99,4285.56,4298.79,19,,
27-08-2017,06:00:00,4344.97,4344.97,4298.68,4326.37,12,,
27-08-2017,07:00:00,4325.18,4340,4285.54,4327.34,17,,
27-08-2017,08:00:00,4326.34,4326.34,4295.89,4309.64,6,,
27-08-2017,09:00:00,4313,4325,4295.89,4324.99,7,,
27-08-2017,10:00:00,4296,4339.99,4290.01,4338,10,,
27-08-2017,11:00:00,4305,4370.92,4302,4370,23,,
27-08-2017,12:00:00,4345,4370.92,4330.45,4335,9,,
27-08-2017,13:00:00,4335,4384.91,4335,4335.07,14,,
27-08-2017,14:00:00,4335.07,4386.79,4327.62,4345,35,,
27-08-2017,15:00:00,4338.02,4386.49,4336.09,4338,29,,
27-08-2017,16:00:00,4380,4380,4336.09,4371.42,10,,
27-08-2017,17:00:00,4327.63,4371.42,4314.65,4314.7,14,,
27-08-2017,18:00:00,4314.84,4364.95,4284.76,4326.91,37,,
27-08-2017,19:00:00,4282.21,4326.78,4265.45,4280.81,33,,
27-08-2017,20:00:00,4316.91,4330.36,4258.78,4284.8,12,,
27-08-2017,21:00:00,4289,4310,4239.37,4239.37,9,,
27-08-2017,22:00:00,4239.36,4280,4124.54,4189.99,26,,
27-08-2017,23:00:00,4160.6,4251.92,4131.23,4170.01,23,,
28-08-2017,00:00:00,4170.1,4282.07,4150.1,4271.02,28,,
28-08-2017,01:00:00,4245.57,4270,4207.42,4270,18,,
28-08-2017,02:00:00,4270,4297.12,4239.15,4275,20,,
28-08-2017,03:00:00,4240,4305,4229.64,4242.96,17,,
28-08-2017,04:00:00,4229.65,4298.83,4226.93,4258.21,36,,
28-08-2017,05:00:00,4270.99,4332.55,4270.99,4288.07,29,,
28-08-2017,06:00:00,4291.69,4365.4,4289.5,4289.5,45,,
28-08-2017,07:00:00,4290,4334.27,4271.86,4324,28,,
28-08-2017,08:00:00,4324,4347,4279.82,4315,25,,
28-08-2017,09:00:00,4294.76,4318.99,4275.55,4292.77,43,,
28-08-2017,10:00:00,4292.77,4317.2,4271.03,4281.54,24,,
28-08-2017,11:00:00,4302.28,4365.1,4285.79,4349.69,40,,
28-08-2017,12:00:00,4364.81,4370.45,4313.66,4323.32,22,,
28-08-2017,13:00:00,4323.32,4361.38,4307.22,4361.33,24,,
28-08-2017,14:00:00,4330.01,4339.99,4315.67,4321.65,15,,
28-08-2017,15:00:00,4321.65,4339.8,4290.18,4328.56,16,,
28-08-2017,16:00:00,4322.64,4399.82,4317.29,4361.45,31,,
28-08-2017,17:00:00,4361.45,4386,4331.45,4378.52,26,,
28-08-2017,18:00:00,4352.62,4386.69,4352.62,4354.62,23,,
28-08-2017,19:00:00,4354.62,4386.69,4331.46,4346.19,25,,
28-08-2017,20:00:00,4386.68,4386.68,4314.35,4325.28,28,,
28-08-2017,21:00:00,4358.45,4383.99,4314.75,4383.99,5,,
28-08-2017,22:00:00,4383.99,4383.99,4330.02,4358.55,30,,
28-08-2017,23:00:00,4362.49,4404.05,4360.89,4362.49,28,,
29-08-2017,00:00:00,4362.49,4389.48,4343.48,4389.48,38,,
29-08-2017,01:00:00,4350,4404.07,4313.55,4360.39,34,,
29-08-2017,02:00:00,4383,4383.47,4313.86,4349.15,30,,
29-08-2017,03:00:00,4354.98,4382.99,4334.32,4347.55,34,,
29-08-2017,04:00:00,4361.81,4368.47,4329.57,4333.2,20,,
29-08-2017,05:00:00,4368.46,4377.47,4333.2,4362.42,14,,
29-08-2017,06:00:00,4383.82,4417.61,4347.59,4368.54,36,,
29-08-2017,07:00:00,4389.95,4469.43,4370.67,4437.18,32,,
29-08-2017,08:00:00,4437.18,4625.85,4437.18,4585,36,,
29-08-2017,09:00:00,4585,4597.97,4545.75,4582.2,29,,
29-08-2017,10:00:00,4582.2,4592,4530.86,4546.89,26,,
29-08-2017,11:00:00,4546.89,4556.99,4496.95,4528.31,39,,
29-08-2017,12:00:00,4528.31,4555.55,4500,4517.16,35,,
29-08-2017,13:00:00,4549.78,4549.78,4516.64,4536.43,25,,
29-08-2017,14:00:00,4547.99,4595.55,4528.03,4595.55,23,,
29-08-2017,15:00:00,4595.55,4619.41,4550.09,4609.49,33,,
29-08-2017,16:00:00,4608.5,4624.99,4571.82,4578.19,6,,
29-08-2017,17:00:00,4577.75,4619.6,4564.77,4619.6,6,,
29-08-2017,18:00:00,4566.02,4619.35,4527.45,4577.83,22,,
29-08-2017,19:00:00,4598.29,4599.82,4555,4587.53,34,,
29-08-2017,20:00:00,4599.77,4619.99,4576.84,4576.84,34,,
29-08-2017,21:00:00,4576.84,4618.3,4565.33,4615.92,36,,
29-08-2017,22:00:00,4615.64,4615.64,4583.6,4590.37,24,,
29-08-2017,23:00:00,4598.55,4625,4558.89,4558.89,38,,
30-08-2017,00:00:00,4558.89,4647.51,4558.89,4631.99,43,,
30-08-2017,01:00:00,4618,4632,4558.93,4586.7,42,,
30-08-2017,02:00:00,4586.7,4598.83,4550,4577.23,17,,
30-08-2017,03:00:00,4577.23,4590,4530.53,4559.17,30,,
30-08-2017,04:00:00,4559.17,4589.77,4422.25,4466,68,,
30-08-2017,05:00:00,4437.07,4569,4416.01,4531.8,49,,
30-08-2017,06:00:00,4544,4553,4416.16,4540.09,61,,
30-08-2017,07:00:00,4540.09,4592.76,4500.01,4574.19,39,,
30-08-2017,08:00:00,4574.17,4586.53,4547.91,4555.94,41,,
30-08-2017,09:00:00,4555.95,4589.67,4516.95,4557.77,29,,
30-08-2017,10:00:00,4557.77,4575.18,4521,4560.75,36,,
30-08-2017,11:00:00,4570.47,4598.31,4546.74,4598.31,26,,
30-08-2017,12:00:00,4554.18,4609.92,4554.18,4590.81,17,,
30-08-2017,13:00:00,4585.02,4596.58,4554.07,4555.71,19,,
30-08-2017,14:00:00,4555.76,4558.36,4516.87,4531.8,21,,
30-08-2017,15:00:00,4565.18,4571.87,4531.53,4544.99,24,,
30-08-2017,16:00:00,4538.27,4579.91,4531.53,4547.26,27,,
30-08-2017,17:00:00,4547.24,4579.86,4547.24,4552.22,40,,
30-08-2017,18:00:00,4552.22,4579.84,4552.22,4578.93,40,,
30-08-2017,19:00:00,4568.78,4587.16,4562,4587.16,23,,
30-08-2017,20:00:00,4596.58,4605.99,4569.6,4592.45,34,,
30-08-2017,21:00:00,4592.45,4606,4592.05,4596.55,23,,
30-08-2017,22:00:00,4604,4609,4586.49,4586.51,37,,
30-08-2017,23:00:00,4586.51,4628.12,4578.17,4592.54,21,,
31-08-2017,00:00:00,4592.6,4613,4578,4579.01,22,,
31-08-2017,01:00:00,4579.01,4603.34,4572.64,4572.64,28,,
31-08-2017,02:00:00,4592.07,4615,4578,4615,28,,
31-08-2017,03:00:00,4589.85,4614.41,4572.64,4610,19,,
31-08-2017,04:00:00,4610,4614.4,4572.64,4614.36,29,,
31-08-2017,05:00:00,4614.36,4678.57,4603.33,4639.38,34,,
31-08-2017,06:00:00,4639.38,4675,4631.41,4674.34,39,,
31-08-2017,07:00:00,4659.55,4674.34,4631.41,4632.87,43,,
31-08-2017,08:00:00,4632.87,4685.55,4632.87,4649.69,12,,
31-08-2017,09:00:00,4649.69,4685.55,4649.69,4679.55,23,,
31-08-2017,10:00:00,4657.41,4685.56,4638.99,4685.55,23,,
31-08-2017,11:00:00,4685.56,4685.56,4638.98,4684.48,12,,
31-08-2017,12:00:00,4672.04,4688.5,4650.55,4675.07,7,,
31-08-2017,13:00:00,4675.14,4745.42,4675.14,4695.5,31,,
31-08-2017,14:00:00,4695.32,4716.18,4680.03,4693.16,18,,
31-08-2017,15:00:00,4717.42,4717.42,4673.1,4679.79,15,,
31-08-2017,16:00:00,4704.99,4724.71,4666.84,4685.72,19,,
31-08-2017,17:00:00,4699.98,4700,4683.36,4698.99,12,,
31-08-2017,18:00:00,4698.99,4731.13,4683.41,4711.26,13,,
31-08-2017,19:00:00,4707.27,4745.35,4706.09,4723.92,31,,
31-08-2017,20:00:00,4736,4767,4701.11,4730.04,21,,
31-08-2017,21:00:00,4730.1,4767,4719.05,4719.05,13,,
31-08-2017,22:00:00,4719.05,4734.99,4685.36,4717,37,,
31-08-2017,23:00:00,4685.36,4706.63,4654.88,4678.07,22,,
01-09-2017,00:00:00,4664.15,4688.96,4656.3,4656.3,9,,
01-09-2017,01:00:00,4696,4710.06,4656.3,4705.11,28,,
01-09-2017,02:00:00,4705.11,4762.99,4687.53,4762.99,37,,
01-09-2017,03:00:00,4731.12,4750,4731,4749.99,34,,
01-09-2017,04:00:00,4749.99,4778.19,4731,4766.01,32,,
01-09-2017,05:00:00,4755.28,4778.2,4725.88,4766.07,38,,
01-09-2017,06:00:00,4766.07,4798.46,4736.35,4780,20,,
01-09-2017,07:00:00,4770.3,4839.92,4764.16,4777.41,16,,
01-09-2017,08:00:00,4830,4830,4740,4740,17,,
01-09-2017,09:00:00,4740,4789.09,4725.81,4746.94,20,,
01-09-2017,10:00:00,4746.94,4804.12,4746.94,4769.85,30,,
01-09-2017,11:00:00,4769.85,4800.13,4738.94,4782.97,29,,
01-09-2017,12:00:00,4788.98,4811.82,4760.42,4782.88,20,,
01-09-2017,13:00:00,4782.88,4808.11,4739.08,4762.67,22,,
01-09-2017,14:00:00,4762.67,4815.67,4752.78,4777.77,26,,
01-09-2017,15:00:00,4777.77,4846.78,4776.15,4817.37,23,,
01-09-2017,16:00:00,4818.58,4859.44,4760.01,4800.03,14,,
01-09-2017,17:00:00,4800.51,4885.55,4775.36,4830.32,30,,
01-09-2017,18:00:00,4830.3,4885.54,4796.16,4796.24,16,,
01-09-2017,19:00:00,4796.16,4914.27,4784.43,4904.19,42,,
01-09-2017,20:00:00,4900.01,4939.19,4878.97,4930,39,,
01-09-2017,21:00:00,4922.74,4928.09,4775.35,4798.99,44,,
01-09-2017,22:00:00,4775.58,4850,4764.88,4785.17,30,,
01-09-2017,23:00:00,4800,4814.49,4623.25,4673.31,32,,
02-09-2017,00:00:00,4673.31,4683.66,4473.35,4683.66,95,,
02-09-2017,01:00:00,4658.99,4779.05,4537.01,4755.23,31,,
02-09-2017,02:00:00,4755.23,4780,4614.01,4628.3,32,,
02-09-2017,03:00:00,4615,4668.56,4549.78,4578.57,58,,
