Date,Timse,Open,High,Low,Close,Volume
05-01-2017,09:00:00,155.868,157.02,155.768,156.617,60
05-01-2017,10:00:00,156.617,157.326,156.458,156.846,60
05-01-2017,11:00:00,156.849,157.606,156.846,157.468,60
05-01-2017,12:00:00,157.47,157.688,156.717,156.72,60
05-01-2017,13:00:00,156.718,156.869,155.977,155.988,60
05-01-2017,14:00:00,155.988,156.268,155.337,155.349,31
05-02-2017,08:00:00,155.699,156.202,154.596,156.029,60
05-02-2017,09:00:00,156.037,156.358,155.436,155.519,60
05-02-2017,10:00:00,155.518,156.104,155.407,155.886,60
05-02-2017,11:00:00,155.896,156.059,155.738,155.757,60
05-02-2017,12:00:00,155.759,155.97,155.479,155.869,60
05-02-2017,13:00:00,155.866,155.919,155.139,155.906,60
05-02-2017,14:00:00,155.897,156.488,155.876,156.408,31
05-03-2017,08:00:00,156.229,156.478,154.928,155.619,60
05-03-2017,09:00:00,155.618,155.879,155.258,155.727,60
05-03-2017,10:00:00,155.727,155.779,154.926,154.939,60
05-03-2017,11:00:00,154.939,155.257,154.87,155.079,60
05-03-2017,12:00:00,155.076,155.539,154.908,155.169,60
05-03-2017,13:00:00,155.188,155.417,155.016,155.228,60
05-03-2017,14:00:00,155.239,155.76,155.068,155.567,31
05-04-2017,08:00:00,155.546,157.056,154.546,156.937,60
